OwnerID	OwnerName	OwnerPhoneNumber	OwnerEmail
OW0001034	5151 HOLLYWOOD LLC	1611195757	parisian.courtney@hotmail.com
OW0033830	"SPROUTS, INC."	2160326095	arnulfo.heidenreich@gmail.com
OW0017480	JAYSUKHGHQI T PATEL	7168345717	trantow.brandt@waters.com
OW0031653	"SANFORD, BRODY"	3370895585	vferry@rice.com
OW0035638	THE MAGIC GRIDDLES INC.	2493274352	tconnelly@hotmail.com
OW0128031	SUCCESS GLOBAL INC	7135362872	kailyn85@rippin.com
OW0035036	TARGET CORPORATION	4885022106	leatha12@beer.biz
OW0250301	"INNOVATON CREATION , LLC"	3784915906	xmedhurst@windler.com
OW0036363	TRADER JOES COMPANY INC.	2679186533	olson.easton@gmail.com
OW0238756	"KOBUNGA, LLC"	8811331602	agleason@spencer.com
OW0250387	K & A CANTON CHINESE RESTAURANT	4882278256	zkassulke@macejkovic.com
OW0015333	"HERNANDEZ, GENOVEVA"	8422584045	kiley75@gmail.com
OW0012761	ROSEHEN CORP	1692636419	margarita.torp@gmail.com
OW0009661	DEL TACO INC	3477185456	xframi@hotmail.com
OW0240830	"FIX CAFE, INC."	8740983091	velva03@schulist.com
OW0124236	"RAR, INC"	1158272038	flatley.rowena@hotmail.com
OW0035686	THE PATINA GROUP NEWCO LLC	7726903655	tomasa53@kemmer.com
OW0244783	"JUICE N FRUITS , LLC"	7719033833	marjory38@mayer.biz
OW0014073	GREEN STREET TAVERN INC.	1293261849	kub.tess@gmail.com
OW0004642	"BHOLSANGNGAM, ANEK PRES"	6250110139	jacobson.gus@hoppe.info
OW0126873	P AND C LITTLE BLUE HOUSE LLC	3426278477	ryder.ryan@hotmail.com
OW0236942	OJD INC	7990289139	rozella.robel@hotmail.com
OW0027941	PARU'S RESTAURANT INC	6301994729	rylan83@gmail.com
OW0126803	ABK3 ENTERPRISES LLC	4354169503	oma.hartmann@boyle.com
OW0029458	RALPHS GROCERY COMPANY	1242325031	braun.reyes@doyle.net
OW0007580	CHINDA PHRUEXSUWAN	1835056935	xkohler@kohler.info
OW0250394	IJ LEE INC.	3694793613	purdy.faye@gmail.com
OW0032106	"SEESOD, PRAKOPSUP"	5258224665	estella.mosciski@hotmail.com
OW0248522	"WB USC, LLC"	6546283549	dooley.miguel@corwin.net
OW0248726	DEEP J KESHRI	4086393191	eleazar06@price.com
OW0026268	NORTHGATE GONZALEZ LLC	8196244700	ubotsford@eichmann.com
OW0002888	ARA SERVICES INC	2337852276	pfannerstill.benedict@feest.com
OW0125130	"CREATIVE ENTERTAINMENT CONCEPTS, INC."	5011046099	rosemary49@schimmel.com
OW0178692	"U CAN SHOP RITE, INC."	8694902050	will.ettie@hessel.com
OW0030054	"REYNALDO, AGAPITO LOPEZ"	3413250005	bergnaum.cruz@yahoo.com
OW0017040	INTL SOCIETY FOR KRISHNA	6728987712	white.ansley@armstrong.com
OW0033717	SOUTHERN CALIFORNIA PIZZA CO LLC	5034773994	konopelski.nelle@hackett.biz
OW0036867	UNG SANDI TANG	2809152897	qfisher@hodkiewicz.net
OW0038471	"WASANSAREKUL, VERAWAN"	9169712781	kuhlman.myrtis@carter.com
OW0006528	"CASTRO, CONCEPCION"	3929877406	allison23@yahoo.com
OW0248664	BIG EIGHT INC	9663558759	akuphal@gmail.com
OW0208938	DORY COCINA INC	1287732248	pschmeler@gmail.com
OW0023330	"MARGOSSIAN, KARMEN"	1597757061	wpfannerstill@doyle.com
OW0238123	K2S US CORP	7700622520	isidro76@hotmail.com
OW0248949	"REFRESHMENT CENTER, LLC"	5000473338	kub.mandy@yahoo.com
OW0038319	WALGREENS CO.	2616213642	jo30@yahoo.com
OW0100774	"THAI ON WESTERN, INC."	7987518347	jerrod.davis@yahoo.com
OW0013119	"GG, INC."	3536667511	imogene29@yahoo.com
OW0038850	"WHOLE FOODS MARKET, INC."	6424176354	welch.lesley@haley.com
OW0186162	ZEFERINO GARCIA	1045993015	collier.skye@powlowski.net
OW0039121	WOLFGANG PUCK CATERING & EVE	5494847133	king.harrison@stoltenberg.org
OW0034917	"TAMAYO RESTAURANT, INC."	6468738170	dameon.murazik@hoppe.com
OW0006880	"CHAI, CHAN SOON"	1321038021	wehner.jimmie@schoen.net
OW0039141	WONDER NIGHT LLC	3427329152	xnitzsche@yahoo.com
OW0177972	"WHITEHOUSEENTERPRISES, LLC"	3639821334	reilly.sasha@hotmail.com
OW0016580	"HUI,CHA PAK"	6820021650	auer.adolph@wyman.com
OW0013765	GONZALEZ ADRIAN C.	9552440973	dickens.eli@barrows.biz
OW0105348	"GUCKENHEIMER SERVICES, LLC."	6692451061	bella.terry@zulauf.com
OW0023970	MCHOI CORP	5257455043	nat.klocko@hotmail.com
OW0028070	PBF & E LLC	2234063113	gritchie@gleason.com
OW0021536	"LENTZ III, FRANK MARION"	1042853179	aniya.barrows@considine.com
OW0013724	GONZALEZ JESSICA	2066988440	nathaniel02@nader.com
